team,matchday,standings,wins,goals,goal differential,points
SV Werder Bremen,23,9,8,39,-10,30
SV Werder Bremen,24,8,9,40,-9,33
SV Werder Bremen,25,9,9,40,-13,33
SV Werder Bremen,26,9,9,41,-13,34
SV Werder Bremen,27,9,9,41,-13,35
SV Werder Bremen,28,9,9,43,-14,35
SV Werder Bremen,29,7,10,44,-13,38
SV Werder Bremen,30,9,10,46,-13,39
SV Werder Bremen,31,7,11,47,-12,42
SV Werder Bremen,32,8,11,48,-12,43
SV Werder Bremen,33,8,11,48,-14,43
SV Werder Bremen,34,10,11,50,-15,43
TSG 1899 Hoffenheim,1,1,1,2,2,3
TSG 1899 Hoffenheim,2,3,1,3,2,4
TSG 1899 Hoffenheim,3,8,1,4,2,5
TSG 1899 Hoffenheim,4,3,2,6,4,8
TSG 1899 Hoffenheim,5,4,2,9,4,9
TSG 1899 Hoffenheim,6,4,2,9,4,10
TSG 1899 Hoffenheim,7,2,3,11,5,13
TSG 1899 Hoffenheim,8,3,3,12,5,14
TSG 1899 Hoffenheim,9,4,4,13,6,17
TSG 1899 Hoffenheim,10,4,4,14,4,17
TSG 1899 Hoffenheim,11,5,4,17,3,17
TSG 1899 Hoffenheim,12,8,4,17,-1,17
TSG 1899 Hoffenheim,13,7,5,21,0,20
TSG 1899 Hoffenheim,14,8,5,21,-1,20
TSG 1899 Hoffenheim,15,7,6,24,0,23
TSG 1899 Hoffenheim,16,7,6,24,-1,23
TSG 1899 Hoffenheim,17,7,7,29,4,26
TSG 1899 Hoffenheim,18,7,7,30,2,26
TSG 1899 Hoffenheim,19,7,7,31,1,26
TSG 1899 Hoffenheim,20,7,7,31,-2,26
TSG 1899 Hoffenheim,21,7,8,33,-1,29
TSG 1899 Hoffenheim,22,7,8,34,-1,30
TSG 1899 Hoffenheim,23,7,9,36,1,33
TSG 1899 Hoffenheim,24,7,9,37,-1,33
TSG 1899 Hoffenheim,25,7,10,40,2,36
TSG 1899 Hoffenheim,26,7,10,40,2,37
TSG 1899 Hoffenheim,27,7,10,41,-1,37
TSG 1899 Hoffenheim,28,7,10,43,-2,37
TSG 1899 Hoffenheim,29,8,10,43,-4,37
TSG 1899 Hoffenheim,30,7,11,45,-3,40
TSG 1899 Hoffenheim,31,8,11,46,-3,41
TSG 1899 Hoffenheim,32,9,11,47,-5,41
TSG 1899 Hoffenheim,33,9,11,47,-7,41
TSG 1899 Hoffenheim,34,8,12,49,-6,44
VfB Stuttgart,1,10,0,1,0,1
VfB Stuttgart,2,16,0,1,-2,1
VfB Stuttgart,3,17,0,1,-4,1
VfB Stuttgart,4,18,0,1,-6,1
VfB Stuttgart,5,17,0,3,-6,2
VfB Stuttgart,6,15,1,4,-5,5
VfB Stuttgart,7,16,1,6,-6,5
VfB Stuttgart,8,15,1,9,-6,6
VfB Stuttgart,9,14,2,14,-5,9
VfB Stuttgart,10,15,2,14,-9,9
